,Street Name,From,To,Day of Month,Time
548,regent,2501.0,2699.0,4th Thurs,AM
549,regent,2800.0,2898.0,3rd Thurs,AM
550,regent,2801.0,2899.0,3rd Wed,AM
551,regent,2700.0,2799.0,3rd Wed,AM
552,roanoke,19.0,49.0,3rd Fri,AM
553,roanoke,70.0,122.0,4th Tue,AM
554,roble,6.0,16.0,3rd Fri,AM
555,roble,5.0,17.0,3rd Fri,AM
556,roble,26.0,58.0,3rd Fri,AM
557,roble,23.0,59.0,4th Tue,AM
558,roosevelt,2100.0,2499.0,1st Thurs,AM
559,roosevelt,2101.0,2499.0,1st Wed,AM
560,rose,1200.0,1498.0,1st Wed,PM
561,rose,1201.0,1499.0,1st Thurs,PM
562,rose,1500.0,1998.0,2nd Thurs,PM
563,rose,1501.0,1999.0,2nd Fri,PM
564,rose,2300.0,2348.0,3rd Thurs,PM
565,rose,2301.0,2349.0,3rd Wed,PM
566,roslyn,2.0,16.0,3rd Fri,AM
567,roslyn,2.0,19.0,3rd Fri,AM
568,russell,1100.0,1498.0,2nd Wed,AM
569,russell,1101.0,1499.0,2nd Tue,AM
570,russell,1500.0,1998.0,1st Mon,AM
571,russell,1501.0,1999.0,1st Tue,AM
572,russell,2000.0,2698.0,3rd Mon,AM
573,russell,2001.0,2699.0,3rd Tue,AM
574,russell,2706.0,3000.0,4th Mon,AM
575,russell,2701.0,3099.0,4th Wed,AM
576,sacramento,2100.0,2198.0,3rd Wed,AM
577,sacramento,2101.0,2199.0,3rd Thurs,AM
578,sacramento,2400.0,2498.0,3rd Wed,AM
579,sacramento,2401.0,2499.0,3rd Thurs,AM
580,san antonio,1800.0,1898.0,4th Mon,PM
581,san antonio,1801.0,1899.0,3rd Fri,PM
582,san lorenzo,1515.0,1559.0,4th Mon,PM
583,san lorenzo,1542.0,1598.0,3rd Fri,PM
584,san miguel,1720.0,1798.0,3rd Fri,PM
585,san miguel,1721.0,1799.0,4th Mon,PM
586,santa fe,1200.0,1428.0,1st Fri,PM
587,santa fe,1199.0,1401.0,2nd Mon,PM
588,santa rosa,600.0,699.0,3rd Fri,PM
589,santa rosa,601.0,749.0,4th Mon,PM
590,short,1600.0,1699.0,1st Wed,PM
591,short,1800.0,1899.0,1st Wed,PM
592,spaulding,2100.0,2498.0,1st Wed,AM
593,spaulding,2101.0,2499.0,1st Thurs,AM
594,stannage,1200.0,1598.0,1st Fri,PM
595,stannage,1201.0,1599.0,2nd Mon,PM
596,stannage,1600.0,1698.0,1st Wed,PM
597,stannage,1601.0,1699.0,1st Thurs,PM
598,stanton,2824.0,3098.0,2nd Fri,AM
599,stanton,2825.0,3099.0,2nd Thurs,AM
600,station,853.0,858.0,3rd Wed,PM
601,stuart,1500.0,1998.0,1st Mon,AM
602,stuart,1501.0,1999.0,1st Tue,AM
603,stuart,2000.0,2598.0,3rd Mon,AM
604,stuart,2001.0,2599.0,3rd Tue,AM
605,stuart,2600.0,2898.0,3rd Fri,AM
606,stuart,2601.0,2799.0,4th Tue,AM
607,sutter,1000.0,1198.0,3rd Thurs,PM
608,sutter,1101.0,1199.0,3rd Wed,PM
609,talbot,1200.0,1428.0,1st Fri,PM
610,talbot,1201.0,1399.0,2nd Mon,PM
611,tanglewood,10.0,28.0,4th Mon,AM
612,tanglewood,2940.0,2998.0,4th Wed,AM
613,tevlin,1200.0,1398.0,1st Fri,PM
614,tevlin,1201.0,1379.0,1st Fri,PM
615,the plaza,12.0,88.0,4th Tue,AM
616,the plaza,13.0,89.0,4th Tue,AM
617,the plaza,0.0,41.0,3rd Fri,AM
618,the plaza,41.0,131.0,3rd Fri,AM
619,the plaza,128.0,155.0,3rd Fri,AM
620,the uplands,26.0,225.0,4th Tue,AM
621,the uplands,26.0,224.0,3rd Fri,AM
622,thousand oaks,1532.0,2098.0,3rd Fri,PM
623,thousand oaks,2000.0,2098.0,3rd Fri,PM
624,thousand oaks,1531.0,2199.0,4th Mon,PM
625,tremont,3000.0,3199.0,1st Wed,AM
626,tremont,3001.0,3199.0,1st Thurs,AM
627,tyler,1500.0,1698.0,1st Mon,AM
628,tyler,1501.0,1699.0,1st Tue,AM
629,vallejo,1800.0,1898.0,4th Mon,PM
630,vallejo,1901.0,1999.0,3rd Fri,PM
631,valley,2300.0,2398.0,2nd Mon,AM
632,valley,2301.0,2399.0,2nd Mon,AM
633,valley,2400.0,2498.0,2nd Mon,AM
634,valley,2401.0,2499.0,1st Fri,AM
635,vicente,1.0,95.0,4th Tue,AM
636,vicente,2.0,94.0,3rd Fri,AM
637,vicente,150.0,181.0,4th Tue,AM
638,vincente,801.0,899.0,4th Mon,PM
639,vine,1600.0,1998.0,2nd Fri,PM
640,vine,1601.0,1999.0,2nd Thurs,PM
641,vine,2300.0,2390.0,3rd Fri,PM
642,vine,2301.0,2449.0,4th Mon,PM
643,virginia,830.0,1098.0,1st Mon,PM
644,virginia,831.0,1099.0,1st Tue,PM
645,virginia,1100.0,1498.0,1st Wed,PM
646,virginia,1101.0,1499.0,1st Thurs,PM
647,virginia,1500.0,1698.0,2nd Tue,PM
648,virginia,1501.0,1999.0,2nd Wed,PM
649,virginia,2000.0,2098.0,3rd Tue,PM
650,virginia,2001.0,2099.0,3rd Mon,PM
651,virginia gardens,1600.0,1698.0,1st Wed,PM
652,virginia gardens,1601.0,1699.0,1st Wed,PM
653,walker,2700.0,2722.0,3rd Wed,AM
654,walker,2701.0,2723.0,3rd Wed,AM
655,wallace,2724.0,2898.0,2nd Fri,AM
656,wallace,2725.0,2899.0,2nd Thurs,AM
657,walnut,1800.0,1898.0,3rd Tue,PM
658,walnut,1800.0,1899.0,3rd Mon,PM
659,ward,1100.0,1498.0,2nd Wed,AM
660,ward,1101.0,1499.0,2nd Tue,AM
661,ward,1500.0,1998.0,1st Tue,AM
662,ward,1501.0,1999.0,1st Mon,AM
663,ward,2000.0,2424.0,3rd Tue,AM
664,ward,2001.0,2425.0,3rd Mon,AM
665,warring,2300.0,2498.0,4th Tue,PM
666,warring,2351.0,2499.0,4th Wed,PM
667,warring,2500.0,2698.0,4th Fri,AM
668,warring,2501.0,2699.0,4th Thurs,AM
669,watkins,1300.0,1398.0,2nd Mon,PM
670,watkins,1300.0,1398.0,1st Fri,PM
671,webster,2250.0,2398.0,3rd Tue,AM
672,webster,2251.0,2399.0,3rd Mon,AM
673,webster,2600.0,2998.0,3rd Fri,AM
674,webster,2601.0,2999.0,4th Tue,AM
675,west,2300.0,2498.0,1st Fri,AM
676,west,2301.0,2499.0,2nd Mon,AM
677,wheeler,2900.0,3198.0,3rd Thurs,AM
678,wheeler,3001.0,3123.0,3rd Wed,AM
679,woolsey,1501.0,1899.0,1st Tue,AM
680,woolsey,1598.0,1820.0,1st Mon,AM
681,woolsey,1901.0,2599.0,3rd Tue,AM
682,woolsey,2000.0,2598.0,3rd Mon,AM
683,woolsey,2600.0,2994.0,4th Tue,AM
684,woolsey,2601.0,2899.0,3rd Fri,AM
685,yolo,1900.0,2026.0,2nd Thurs,PM
686,yolo,1901.0,1999.0,2nd Fri,PM
687,yolo,1901.0,2027.0,2nd Fri,PM
688,yosemite,2000.0,2098.0,3rd Fri,PM
689,yosemite,2001.0,2099.0,4th Mon,PM
690,6th,1400.0,1998.0,1st  Tue,PM
691,6th,1401.0,1999.0,1st  Mon,PM
692,6th,2000.0,2498.0,2nd  Mon,AM
693,6th,2001.0,2499.0,1st  Fri,AM
694,7th,1400.0,1598.0,1st  Mon,PM
695,7th,1500.0,1998.0,1st  Mon,PM
696,7th,1401.0,1999.0,1st  Tue,PM
697,7th,2000.0,2498.0,1st  Fri,AM
698,7th,2001.0,2499.0,2nd  Mon,AM
699,8th,1400.0,1998.0,1st  Tue,PM
700,8th,1401.0,1999.0,1st  Mon,PM
701,8th,2000.0,2498.0,2nd  Mon,AM
702,8th,2001.0,2499.0,1st  Fri,AM
703,9th,1400.0,1998.0,1st  Mon,PM
704,9th,1401.0,1999.0,1st  Tue,PM
705,9th,2000.0,2498.0,1st  Fri,AM
706,9th,2001.0,2499.0,2nd  Mon,AM
707,10th,1400.0,1998.0,1st  Tue,PM
708,10th,1401.0,1999.0,1st  Mon,PM
709,10th,2000.0,2498.0,2nd  Mon,AM
710,10th,2001.0,2499.0,1st  Fri,AM
711,62nd,1600.0,1998.0,1st  Mon,AM
712,62nd,1601.0,1999.0,1st  Tue,AM
713,63rd,1600.0,1998.0,1st  Tue,AM
714,63rd,1601.0,1999.0,1st  Mon,AM
715,65th,1264.0,1298.0,2nd Wed,AM
716,65th,1201.0,1299.0,2nd  Tue,AM
717,66th,1200.0,1498.0,2nd  Tue,AM
718,66th,1263.0,1499.0,2nd Wed,AM
719,67th,1264.0,1498.0,2nd Wed,AM
720,67th,1201.0,1499.0,2nd  Tue,AM
